"White","Black","Native","Asian","Hawaiian","other","Hispanic"
"147,733,511","26,713,580","2,012,968","14,185,240","422,456","14,991,054","37,371,289"
"±81,945","±41,238","±26,036","±27,921","±9,924","±94,360","±25,720"
"72,508,788","12,439,466","1,024,484","6,628,308","214,863","7,655,559","18,795,848"
"±49,130","±25,728","±17,776","±18,012","±7,197","±55,436","±17,087"
"75,224,723","14,274,114","988,484","7,556,932","207,593","7,335,495","18,575,441"
"±49,872","±28,561","±14,748","±18,670","±6,289","±50,221","±17,230"
